id,배지 이름,배지 설명,배지 타입,희귀도,거리(km),고도(m),속도(km/h),온도(°C),시간(분),연속(일),주기_조건,특수조건,선행_배지
1,동네 산책러,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(걷기),common,1.0,,,,,,,,
2,동네 산책러,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(걷기),rare,1.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
3,동네 산책러,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(걷기),legendary,2.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
4,동네 산책러,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(걷기),mythic,2.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
5,골목길 탐험가,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(걷기),common,3.5,,,,,,,,
6,골목길 탐험가,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(걷기),rare,4.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
7,골목길 탐험가,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(걷기),legendary,4.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
8,골목길 탐험가,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(걷기),mythic,5.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
9,콘크리트 유랑자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(걷기),common,6.0,,,,,,,,
10,콘크리트 유랑자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(걷기),rare,6.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
11,콘크리트 유랑자,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(걷기),legendary,7.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
12,콘크리트 유랑자,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(걷기),mythic,7.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
13,횡단보도의 지배자,환상의 뷰포인트 '매직 아워 25시'를 향해 달리는 셔터 마피아들도 당신의 완벽한 궤적엔 찬사를 보냅니다.,정규(걷기),common,8.5,,,,,,,,
14,횡단보도의 지배자,"심야의 암시장 '카본 앨리'에서도 쉽게 거래되지 않을, 오직 당신의 엔진만으로 이뤄낸 값진 성과입니다.",정규(걷기),rare,9.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
15,횡단보도의 지배자,자유의 성지 '벙커 18:01'에 도착한 오피스 탈주닌자들과 함께 축배를 들 만한 훌륭한 땀방울입니다.,정규(걷기),legendary,9.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
16,횡단보도의 지배자,환상의 음료가 담긴 '오아시스 자판기'를 찾아 헤매는 포션 연금술사들도 이 폭발적인 에너지에는 혀를 내두릅니다.,정규(걷기),mythic,10.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
17,도심의 순례자,분실물 센터 '999'의 문이 열린 걸까요? 아날로그 수집가들이 탐낼 만한 행운이 깃든 낡고 귀한 기록입니다.,정규(걷기),common,11.0,,,,,,,,
18,도심의 순례자,"마의 결계 '섬데이'를 산산조각 내고 침대의 중력을 완전히 이겨낸, 위대하고 눈부신 승리입니다.",정규(걷기),rare,11.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
19,도심의 순례자,"숨이 턱 끝까지 차오르는 순간, 무의식의 차원 '화이트 룸'의 문고리를 거머쥔 초월적이고 환상적인 기록입니다.",정규(걷기),legendary,12.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
20,도심의 순례자,달콤한 냄새가 밴 이 파편은 환상의 푸드트럭 '무명(無名)'을 쫓는 미식가들의 발자취와 겹쳐집니다.,정규(걷기),mythic,12.5,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
21,무념무상의 걸음,전설의 루트 '블랙 트랙'을 누비는 아스팔트 레인저들의 거친 숨결이 이 궤적에 고스란히 담겨 있습니다.,정규(걷기),common,13.5,,,,,,,,
22,무념무상의 걸음,당신의 성실한 발걸음에 감탄한 숲속의 갱단이 은밀한 '그루터기 살롱'의 길을 열어줄지도 모릅니다.,정규(걷기),rare,14.0,,,,,,,,"시간의 마술사,작심삼일의 파괴자"
